generics,dosage_strengths,indications,instructions,warnings,_class_key
แอนทาโซลีน ไฮโดรคลอไรด์,0.5 mg,"บรรเทาอาการ แพ้และระคายเคืองที่ตา โดยช่วยลด อาการคันตา (จาก Antazoline) และ อาการตาแดง (จากยาที่ผสมอยู่) ซึ่งเกิดจากภูมิแพ้, ฝุ่น, หรือละอองต่างๆ",ยาสำหรับหยอดตา หยอดตาข้างที่มีอาการ ครั้งละ 1-2 หยด วันละ 3-4 ครั้ง หรือเมื่อมีอาการ ห้ามใช้ยาติดต่อกันเกิน 3-4 วัน เพราะการใช้ยานานเกินไปอาจทำให้อาการตาแดงกลับมาเป็นซ้ำและรุนแรงกว่าเดิมได้,ยาอาจทำให้แสบตาหรือตามัวได้ชั่วคราวหลังหยอด ห้ามใช้ในผู้ป่วยโรคต้อหิน ควรถอดคอนแทคเลนส์ก่อนหยอดยา และรออย่างน้อย 15 นาทีก่อนใส่กลับเข้าไปใหม่ หากใช้แล้วอาการไม่ดีขึ้นใน 3 วัน มีอาการปวดตาหรือตามัวลง ควรหยุดยาและไปพบแพทย์,แอนทาโซลีน ไฮโดรคลอไรด์
แอนทาโซลีน ไฮโดรคลอไรด์,0.5 milligram,"บรรเทาอาการ แพ้และระคายเคืองที่ตา โดยช่วยลด อาการคันตา (จาก Antazoline) และ อาการตาแดง (จากยาที่ผสมอยู่) ซึ่งเกิดจากภูมิแพ้, ฝุ่น, หรือละอองต่างๆ",ยาสำหรับหยอดตา หยอดตาข้างที่มีอาการ ครั้งละ 1-2 หยด วันละ 3-4 ครั้ง หรือเมื่อมีอาการ ห้ามใช้ยาติดต่อกันเกิน 3-4 วัน เพราะการใช้ยานานเกินไปอาจทำให้อาการตาแดงกลับมาเป็นซ้ำและรุนแรงกว่าเดิมได้,ยาอาจทำให้แสบตาหรือตามัวได้ชั่วคราวหลังหยอด ห้ามใช้ในผู้ป่วยโรคต้อหิน ควรถอดคอนแทคเลนส์ก่อนหยอดยา และรออย่างน้อย 15 นาทีก่อนใส่กลับเข้าไปใหม่ หากใช้แล้วอาการไม่ดีขึ้นใน 3 วัน มีอาการปวดตาหรือตามัวลง ควรหยุดยาและไปพบแพทย์,แอนทาโซลีน ไฮโดรคลอไรด์
แอนทาโซลีน ไฮโดรคลอไรด์,0.5 มก.,"บรรเทาอาการ แพ้และระคายเคืองที่ตา โดยช่วยลด อาการคันตา (จาก Antazoline) และ อาการตาแดง (จากยาที่ผสมอยู่) ซึ่งเกิดจากภูมิแพ้, ฝุ่น, หรือละอองต่างๆ",ยาสำหรับหยอดตา หยอดตาข้างที่มีอาการ ครั้งละ 1-2 หยด วันละ 3-4 ครั้ง หรือเมื่อมีอาการ ห้ามใช้ยาติดต่อกันเกิน 3-4 วัน เพราะการใช้ยานานเกินไปอาจทำให้อาการตาแดงกลับมาเป็นซ้ำและรุนแรงกว่าเดิมได้,ยาอาจทำให้แสบตาหรือตามัวได้ชั่วคราวหลังหยอด ห้ามใช้ในผู้ป่วยโรคต้อหิน ควรถอดคอนแทคเลนส์ก่อนหยอดยา และรออย่างน้อย 15 นาทีก่อนใส่กลับเข้าไปใหม่ หากใช้แล้วอาการไม่ดีขึ้นใน 3 วัน มีอาการปวดตาหรือตามัวลง ควรหยุดยาและไปพบแพทย์,แอนทาโซลีน ไฮโดรคลอไรด์
แอนทาโซลีน ไฮโดรคลอไรด์,0.5 มิลลิกรัม,"บรรเทาอาการ แพ้และระคายเคืองที่ตา โดยช่วยลด อาการคันตา (จาก Antazoline) และ อาการตาแดง (จากยาที่ผสมอยู่) ซึ่งเกิดจากภูมิแพ้, ฝุ่น, หรือละอองต่างๆ",ยาสำหรับหยอดตา หยอดตาข้างที่มีอาการ ครั้งละ 1-2 หยด วันละ 3-4 ครั้ง หรือเมื่อมีอาการ ห้ามใช้ยาติดต่อกันเกิน 3-4 วัน เพราะการใช้ยานานเกินไปอาจทำให้อาการตาแดงกลับมาเป็นซ้ำและรุนแรงกว่าเดิมได้,ยาอาจทำให้แสบตาหรือตามัวได้ชั่วคราวหลังหยอด ห้ามใช้ในผู้ป่วยโรคต้อหิน ควรถอดคอนแทคเลนส์ก่อนหยอดยา และรออย่างน้อย 15 นาทีก่อนใส่กลับเข้าไปใหม่ หากใช้แล้วอาการไม่ดีขึ้นใน 3 วัน มีอาการปวดตาหรือตามัวลง ควรหยุดยาและไปพบแพทย์,แอนทาโซลีน ไฮโดรคลอไรด์
แอนทาโซลีน ไฮโดรคลอไรด์,0.5,"บรรเทาอาการ แพ้และระคายเคืองที่ตา โดยช่วยลด อาการคันตา (จาก Antazoline) และ อาการตาแดง (จากยาที่ผสมอยู่) ซึ่งเกิดจากภูมิแพ้, ฝุ่น, หรือละอองต่างๆ",ยาสำหรับหยอดตา หยอดตาข้างที่มีอาการ ครั้งละ 1-2 หยด วันละ 3-4 ครั้ง หรือเมื่อมีอาการ ห้ามใช้ยาติดต่อกันเกิน 3-4 วัน เพราะการใช้ยานานเกินไปอาจทำให้อาการตาแดงกลับมาเป็นซ้ำและรุนแรงกว่าเดิมได้,ยาอาจทำให้แสบตาหรือตามัวได้ชั่วคราวหลังหยอด ห้ามใช้ในผู้ป่วยโรคต้อหิน ควรถอดคอนแทคเลนส์ก่อนหยอดยา และรออย่างน้อย 15 นาทีก่อนใส่กลับเข้าไปใหม่ หากใช้แล้วอาการไม่ดีขึ้นใน 3 วัน มีอาการปวดตาหรือตามัวลง ควรหยุดยาและไปพบแพทย์,แอนทาโซลีน ไฮโดรคลอไรด์
Betamethasone Dipropionate,0.001,"ยาสเตียรอยด์ที่มีความแรงสูง ช้ ลดการอักเสบ, อาการคัน, และรอยแดง ของโรคผิวหนังที่ตอบสนองต่อยาสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน (Psoriasis)","ทายาบางๆ เฉพาะบริเวณผิวหนังที่มีอาการ วันละ 1-2 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ (หากอาการไม่ดีขึ้นควรพบแพทย์) ห้ามทาเป็นบริเวณกว้าง ห้ามทาบริเวณใบหน้า, ขาหนีบ, หรือใต้รักแร้","เป็นยาสเตียรอยด์ที่มีความแรงสูง การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง, เกิดรอยแตก, หรือเส้นเลือดฝอยขยายตัว ห้ามใช้ กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส (เช่น เริม, อีสุกอีใส), หรือแผลเปิด การทาเป็นบริเวณกว้างหรือใช้เป็นเวลานาน ยาอาจถูกดูดซึมเข้าร่างกายและส่งผลเสียได้",betamethasone dipropionate
Betamethasone Dipropionate,0.1,"ยาสเตียรอยด์ที่มีความแรงสูง ช้ ลดการอักเสบ, อาการคัน, และรอยแดง ของโรคผิวหนังที่ตอบสนองต่อยาสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน (Psoriasis)","ทายาบางๆ เฉพาะบริเวณผิวหนังที่มีอาการ วันละ 1-2 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ (หากอาการไม่ดีขึ้นควรพบแพทย์) ห้ามทาเป็นบริเวณกว้าง ห้ามทาบริเวณใบหน้า, ขาหนีบ, หรือใต้รักแร้","เป็นยาสเตียรอยด์ที่มีความแรงสูง การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง, เกิดรอยแตก, หรือเส้นเลือดฝอยขยายตัว ห้ามใช้ กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส (เช่น เริม, อีสุกอีใส), หรือแผลเปิด การทาเป็นบริเวณกว้างหรือใช้เป็นเวลานาน ยาอาจถูกดูดซึมเข้าร่างกายและส่งผลเสียได้",betamethasone dipropionate
Betamethasone dipropionate,0.001,"ยาสเตียรอยด์ที่มีความแรงสูง ช้ ลดการอักเสบ, อาการคัน, และรอยแดง ของโรคผิวหนังที่ตอบสนองต่อยาสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน (Psoriasis)","ทายาบางๆ เฉพาะบริเวณผิวหนังที่มีอาการ วันละ 1-2 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ (หากอาการไม่ดีขึ้นควรพบแพทย์) ห้ามทาเป็นบริเวณกว้าง ห้ามทาบริเวณใบหน้า, ขาหนีบ, หรือใต้รักแร้","เป็นยาสเตียรอยด์ที่มีความแรงสูง การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง, เกิดรอยแตก, หรือเส้นเลือดฝอยขยายตัว ห้ามใช้ กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส (เช่น เริม, อีสุกอีใส), หรือแผลเปิด การทาเป็นบริเวณกว้างหรือใช้เป็นเวลานาน ยาอาจถูกดูดซึมเข้าร่างกายและส่งผลเสียได้",betamethasone dipropionate
Betamethasone dipropionate,0.1,"ยาสเตียรอยด์ที่มีความแรงสูง ช้ ลดการอักเสบ, อาการคัน, และรอยแดง ของโรคผิวหนังที่ตอบสนองต่อยาสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน (Psoriasis)","ทายาบางๆ เฉพาะบริเวณผิวหนังที่มีอาการ วันละ 1-2 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ (หากอาการไม่ดีขึ้นควรพบแพทย์) ห้ามทาเป็นบริเวณกว้าง ห้ามทาบริเวณใบหน้า, ขาหนีบ, หรือใต้รักแร้","เป็นยาสเตียรอยด์ที่มีความแรงสูง การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง, เกิดรอยแตก, หรือเส้นเลือดฝอยขยายตัว ห้ามใช้ กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส (เช่น เริม, อีสุกอีใส), หรือแผลเปิด การทาเป็นบริเวณกว้างหรือใช้เป็นเวลานาน ยาอาจถูกดูดซึมเข้าร่างกายและส่งผลเสียได้",betamethasone dipropionate
เบตาเมทาโซน ไดโพรพิโอเนต,0.001,"ยาสเตียรอยด์ที่มีความแรงสูง ช้ ลดการอักเสบ, อาการคัน, และรอยแดง ของโรคผิวหนังที่ตอบสนองต่อยาสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน (Psoriasis)","ทายาบางๆ เฉพาะบริเวณผิวหนังที่มีอาการ วันละ 1-2 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ (หากอาการไม่ดีขึ้นควรพบแพทย์) ห้ามทาเป็นบริเวณกว้าง ห้ามทาบริเวณใบหน้า, ขาหนีบ, หรือใต้รักแร้","เป็นยาสเตียรอยด์ที่มีความแรงสูง การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง, เกิดรอยแตก, หรือเส้นเลือดฝอยขยายตัว ห้ามใช้ กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส (เช่น เริม, อีสุกอีใส), หรือแผลเปิด การทาเป็นบริเวณกว้างหรือใช้เป็นเวลานาน ยาอาจถูกดูดซึมเข้าร่างกายและส่งผลเสียได้",เบตาเมทาโซน ไดโพรพิโอเนต
เบตาเมทาโซน ไดโพรพิโอเนต,0.1,"ยาสเตียรอยด์ที่มีความแรงสูง ช้ ลดการอักเสบ, อาการคัน, และรอยแดง ของโรคผิวหนังที่ตอบสนองต่อยาสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน (Psoriasis)","ทายาบางๆ เฉพาะบริเวณผิวหนังที่มีอาการ วันละ 1-2 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ (หากอาการไม่ดีขึ้นควรพบแพทย์) ห้ามทาเป็นบริเวณกว้าง ห้ามทาบริเวณใบหน้า, ขาหนีบ, หรือใต้รักแร้","เป็นยาสเตียรอยด์ที่มีความแรงสูง การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง, เกิดรอยแตก, หรือเส้นเลือดฝอยขยายตัว ห้ามใช้ กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส (เช่น เริม, อีสุกอีใส), หรือแผลเปิด การทาเป็นบริเวณกว้างหรือใช้เป็นเวลานาน ยาอาจถูกดูดซึมเข้าร่างกายและส่งผลเสียได้",เบตาเมทาโซน ไดโพรพิโอเนต
Doxycycline,116 mg,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline
Doxycycline,116 milligram,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline
Doxycycline,116 มก.,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline
Doxycycline,116 มิลลิกรัม,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline
Doxycycline,116,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline
Doxycycline Hydrochloride,116 mg,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hydrochloride
Doxycycline Hydrochloride,116 milligram,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hydrochloride
Doxycycline Hydrochloride,116 มก.,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hydrochloride
Doxycycline Hydrochloride,116 มิลลิกรัม,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hydrochloride
Doxycycline Hydrochloride,116,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hydrochloride
Doxycycline Hyclate,116 mg,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hyclate
Doxycycline Hyclate,116 milligram,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hyclate
Doxycycline Hyclate,116 มก.,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hyclate
Doxycycline Hyclate,116 มิลลิกรัม,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hyclate
Doxycycline Hyclate,116,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,doxycycline hyclate
ด็อกซีไซคลิน,116 mg,"รักษาการติดเชื้อแบคทีเรีย หลากหลายชนิด เช่น การติดเชื้อที่ผิวหนัง (สิวอักเสบรุนแรง), ระบบทางเดินหายใจ, ทางเดินปัสสาวะ, โรคติดต่อทางเพศสัมพันธ์บางชนิด และใช้ป้องกันโรคมาลาเรีย",รับประทานพร้อมอาหารปริมาณมากและดื่มน้ำตามมากๆ เพื่อลดการระคายเคืองกระเพาะอาหาร: วันละ 1-2 ครั้ง ตามแพทย์สั่ง ต้องกินยาให้ครบตามที่แพทย์สั่ง แม้อาการจะดีขึ้นแล้ว,ยาทำให้ผิว ไวต่อแสงแดด ได้ง่าย ควร หลีกเลี่ยงการโดนแดดจัด และใช้ครีมกันแดด ห้ามใช้ ใน หญิงตั้งครรภ์ และ เด็กอายุต่ำกว่า 8 ปี เพราะยาอาจมีผลต่อการสร้างกระดูกและฟัน,ด็อกซีไซคลิน
