generics,dosage_strengths,indications,instructions,warnings
Simvastatin,10 milligram,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
ซิมวาสะแตติน,10 milligram,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
Simvastatin,10 มก.,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
ซิมวาสะแตติน,10 มก.,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
Simvastatin,10 มิลลิกรัม,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
ซิมวาสะแตติน,10 มิลลิกรัม,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
Simvastatin,10,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
ซิมวาสะแตติน,10,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
Simvastatin,20 mg,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
ซิมวาสะแตติน,20 mg,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
Simvastatin,20 milligram,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
ซิมวาสะแตติน,20 milligram,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
Simvastatin,20 มก.,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
ซิมวาสะแตติน,20 มก.,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
Simvastatin,20 มิลลิกรัม,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
ซิมวาสะแตติน,20 มิลลิกรัม,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
Simvastatin,20,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
ซิมวาสะแตติน,20,"รักษาภาวะไขมันในเลือดสูง (Hyperlipidemia), ป้องกันโรคหลอดเลือดหัวใจและหลอดเลือดสมอง",ควรรับประทานยาวันละ 1 ครั้ง ในเวลาก่อนนอนหรือตอนเย็น ห้ามรับประทานยาพร้อมกับน้ำเกรปฟรุต (Grapefruit) หรือผลเกรปฟรุต ควรรับประทานยาอย่างสม่ำเสมอตามที่แพทย์สั่ง,อาการปวดกล้ามเนื้อรุนแรง (Myopathy/Rhabdomyolysis) อ่อนแรง หรือเป็นตะคริวผิดปกติ ปัสสาวะมีสีเข้มผิดปกติ (สีน้ำตาลแดงหรือสีเหมือนโค้ก) ยานี้อาจทำให้ค่าเอนไซม์ตับสูงขึ้นได้ ห้ามใช้ในหญิงตั้งครรภ์หรือให้นมบุตรเป็นอันตรายร้ายแรงต่อทารกในครรภ์
Dicloxacillin,500 mg,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
ไดคล็อกซาซิลลิน,500 mg,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
Dicloxacillin,500 milligram,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
ไดคล็อกซาซิลลิน,500 milligram,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
Dicloxacillin,500 มก.,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
ไดคล็อกซาซิลลิน,500 มก.,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
Dicloxacillin,500 มิลลิกรัม,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
ไดคล็อกซาซิลลิน,500 มิลลิกรัม,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
Dicloxacillin,500,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
ไดคล็อกซาซิลลิน,500,"รักษาการติดเชื้อแบคทีเรีย โดยเฉพาะการติดเชื้อที่ผิวหนังและเนื้อเยื่ออ่อน เช่น: ฝี หนอง พุพอง (Abscesses, Boils, Impetigo) แผลติดเชื้อ แผลอักเสบ การอักเสบของเนื้อเยื่อใต้ผิวหนัง (Cellulitis)",หลังอาหารอย่างน้อย 2 ชั่วโมง : ทุก 6 ชั่วโมง (วันละ 4 ครั้ง) หรือตามที่แพทย์สั่งอย่าง,"อาการแพ้ยารุนแรง: มีผื่นลมพิษ ผื่นแดงคัน บหน้า ริมฝีปาก เปลือกตา หรือลิ้นบวม หายใจลำบาก หรือแน่นหน้าอก, ทางระบบทางเดินอาหาร: คลื่นไส้ อาเจียน ท้องเสีย, ควรแจ้งให้ทราบหากกำลังตั้งครรภ์ ให้นมบุตร หรือมีโรคประจำตัว เช่น โรคไต เพื่อการพิจารณาการใช้ยาที่เหมาะสม"
Losartan Potassium,50 mg,"รักษาโรคความดันโลหิตสูง (Hypertension), ชะลอการเสื่อมของไตในผู้ป่วยเบาหวานชนิดที่ 2, ลดความเสี่ยงของโรคหลอดเลือดสมอง (Stroke), รักษาภาวะหัวใจล้มเหลว (Heart Failure)","รับประทานยาอย่างสม่ำเสมอทุกวัน ตามที่แพทย์สั่งอย่างเคร่งครัด แม้ว่าจะรู้สึกสบายดีหรือวัดความดันได้ปกติแล้วก็ตาม ห้ามหยุดยาเอง การใช้ยาจะได้ผลดีที่สุดเมื่อทำควบคู่ไปกับการปรับเปลี่ยนพฤติกรรม เช่น การจำกัดอาหารเค็ม, ควบคุมน้ำหนัก : วันละ 1 ครั้ง","ห้ามใช้ยานี้ในหญิงตั้งครรภ์เด็ดขาด โดยเฉพาะในช่วงไตรมาสที่ 2 และ 3 ของการตั้งครรภ์ เพราะอาจเป็นอันตรายร้ายแรงหรือทำให้ทารกในครรภ์เสียชีวิตได้, อาการวิงเวียน หน้ามืด: อาจเกิดอาการวิงเวียนศีรษะหรือหน้ามืดได้, ระดับโพแทสเซียมในเลือดสูง"
โลซาร์แทน โพแทสเซียม,50 mg,"รักษาโรคความดันโลหิตสูง (Hypertension), ชะลอการเสื่อมของไตในผู้ป่วยเบาหวานชนิดที่ 2, ลดความเสี่ยงของโรคหลอดเลือดสมอง (Stroke), รักษาภาวะหัวใจล้มเหลว (Heart Failure)","รับประทานยาอย่างสม่ำเสมอทุกวัน ตามที่แพทย์สั่งอย่างเคร่งครัด แม้ว่าจะรู้สึกสบายดีหรือวัดความดันได้ปกติแล้วก็ตาม ห้ามหยุดยาเอง การใช้ยาจะได้ผลดีที่สุดเมื่อทำควบคู่ไปกับการปรับเปลี่ยนพฤติกรรม เช่น การจำกัดอาหารเค็ม, ควบคุมน้ำหนัก : วันละ 1 ครั้ง","ห้ามใช้ยานี้ในหญิงตั้งครรภ์เด็ดขาด โดยเฉพาะในช่วงไตรมาสที่ 2 และ 3 ของการตั้งครรภ์ เพราะอาจเป็นอันตรายร้ายแรงหรือทำให้ทารกในครรภ์เสียชีวิตได้, อาการวิงเวียน หน้ามืด: อาจเกิดอาการวิงเวียนศีรษะหรือหน้ามืดได้, ระดับโพแทสเซียมในเลือดสูง"
